time,CH1,CH2,REF1,REF2
   0.000068,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000068,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000068,  -1.360000,   0.400000,  -2.320000,   0.600000
   0.000068,  -1.360000,   0.400000,  -2.400000,   0.400000
   0.000069,  -1.440000,   0.400000,  -2.400000,   0.600000
   0.000069,  -1.360000,   0.200000,  -2.400000,   0.400000
   0.000069,  -1.440000,   0.200000,  -2.400000,   0.400000
   0.000069,  -1.440000,   0.200000,  -2.400000,   0.400000
   0.000070,  -1.360000,   0.200000,  -2.400000,   0.400000
   0.000070,  -1.440000,   0.200000,  -2.480000,   0.400000
   0.000070,  -1.440000,   0.200000,  -2.480000,   0.400000
   0.000070,  -1.440000,   0.200000,  -2.480000,   0.400000
   0.000071,  -1.440000,   0.200000,  -2.480000,   0.400000
   0.000071,  -1.440000,   0.200000,  -2.480000,   0.200000
   0.000071,  -1.440000,   0.000000,  -2.480000,   0.200000
   0.000072,  -1.360000,   0.200000,  -2.400000,   0.200000
   0.000072,  -1.440000,   0.200000,  -2.480000,   0.200000
   0.000072,  -1.440000,   0.000000,  -2.480000,   0.200000
   0.000072,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000073,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000073,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000073,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000073,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000073,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000074,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000074,  -1.440000,   0.000000,  -2.400000,   0.000000
   0.000074,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000074,  -1.440000,   0.000000,  -2.480000,   0.000000
   0.000075,  -1.440000,   0.000000,  -2.400000,  -0.200000
   0.000075,  -1.440000,  -0.200000,  -2.400000,  -0.200000
   0.000075,  -1.360000,  -0.200000,  -2.480000,  -0.200000
   0.000075,  -1.440000,  -0.200000,  -2.400000,  -0.200000
   0.000076,  -1.360000,   0.000000,  -2.400000,  -0.200000
   0.000076,  -1.360000,  -0.200000,  -2.400000,  -0.200000
   0.000076,  -1.360000,  -0.200000,  -2.400000,  -0.200000
   0.000077,  -1.360000,  -0.200000,  -2.400000,  -0.400000
   0.000077,  -1.360000,  -0.200000,  -2.320000,  -0.400000
   0.000077,  -1.360000,  -0.200000,  -2.400000,  -0.400000
   0.000077,  -1.360000,  -0.200000,  -2.400000,  -0.400000
   0.000077,  -1.360000,  -0.200000,  -2.320000,  -0.400000
   0.000078,  -1.360000,  -0.200000,  -2.320000,  -0.400000
   0.000078,  -1.360000,  -0.200000,  -2.320000,  -0.400000
   0.000078,  -1.280000,  -0.200000,  -2.320000,  -0.400000
   0.000078,  -1.280000,  -0.400000,  -2.240000,  -0.400000
   0.000079,  -1.280000,  -0.400000,  -2.320000,  -0.400000
   0.000079,  -1.280000,  -0.400000,  -2.240000,  -0.600000
   0.000079,  -1.280000,  -0.400000,  -2.240000,  -0.600000
   0.000079,  -1.280000,  -0.400000,  -2.240000,  -0.600000
   0.000080,  -1.280000,  -0.400000,  -2.240000,  -0.600000
   0.000080,  -1.280000,  -0.400000,  -2.160000,  -0.600000
   0.000080,  -1.280000,  -0.400000,  -2.160000,  -0.600000
   0.000080,  -1.200000,  -0.400000,  -2.160000,  -0.800000
   0.000081,  -1.200000,  -0.400000,  -2.160000,  -0.800000
   0.000081,  -1.200000,  -0.400000,  -2.160000,  -0.800000
   0.000081,  -1.200000,  -0.400000,  -2.080000,  -0.800000
   0.000082,  -1.200000,  -0.600000,  -2.080000,  -0.800000
   0.000082,  -1.200000,  -0.600000,  -2.080000,  -0.800000
   0.000082,  -1.120000,  -0.600000,  -2.000000,  -0.800000
   0.000082,  -1.120000,  -0.600000,  -2.000000,  -0.800000
   0.000082,  -1.120000,  -0.600000,  -2.000000,  -1.000000
   0.000083,  -1.120000,  -0.600000,  -1.920000,  -1.000000
   0.000083,  -1.120000,  -0.600000,  -1.920000,  -1.000000
   0.000083,  -1.040000,  -0.600000,  -1.920000,  -1.000000
   0.000083,  -1.040000,  -0.600000,  -1.920000,  -1.000000
   0.000084,  -1.040000,  -0.600000,  -1.840000,  -1.000000
   0.000084,  -1.040000,  -0.600000,  -1.840000,  -1.000000
   0.000084,  -1.040000,  -0.600000,  -1.840000,  -1.200000
   0.000084,  -1.040000,  -0.600000,  -1.760000,  -1.000000
   0.000085,  -0.960000,  -0.600000,  -1.760000,  -1.200000
   0.000085,  -0.960000,  -0.600000,  -1.760000,  -1.200000
   0.000085,  -0.960000,  -0.600000,  -1.680000,  -1.200000
   0.000085,  -0.880000,  -0.800000,  -1.680000,  -1.200000
   0.000086,  -0.880000,  -0.600000,  -1.680000,  -1.200000
   0.000086,  -0.880000,  -0.800000,  -1.600000,  -1.200000
   0.000086,  -0.880000,  -0.800000,  -1.600000,  -1.200000
   0.000087,  -0.800000,  -0.800000,  -1.600000,  -1.200000
   0.000087,  -0.800000,  -0.800000,  -1.520000,  -1.200000
   0.000087,  -0.800000,  -0.800000,  -1.520000,  -1.400000
   0.000087,  -0.720000,  -0.800000,  -1.440000,  -1.400000
   0.000087,  -0.800000,  -0.800000,  -1.440000,  -1.400000
   0.000088,  -0.720000,  -0.800000,  -1.440000,  -1.400000
   0.000088,  -0.720000,  -0.800000,  -1.360000,  -1.400000
   0.000088,  -0.720000,  -0.800000,  -1.360000,  -1.400000
   0.000088,  -0.720000,  -0.800000,  -1.280000,  -1.400000
   0.000089,  -0.640000,  -0.800000,  -1.280000,  -1.600000
   0.000089,  -0.640000,  -0.800000,  -1.200000,  -1.600000
   0.000089,  -0.640000,  -1.000000,  -1.200000,  -1.600000
   0.000089,  -0.640000,  -1.000000,  -1.200000,  -1.600000
   0.000090,  -0.560000,  -1.000000,  -1.120000,  -1.600000
   0.000090,  -0.560000,  -1.000000,  -1.120000,  -1.600000
   0.000090,  -0.560000,  -1.000000,  -1.120000,  -1.600000
   0.000090,  -0.560000,  -1.000000,  -1.040000,  -1.800000
   0.000091,  -0.560000,  -1.000000,  -1.040000,  -1.600000
   0.000091,  -0.480000,  -1.000000,  -0.960000,  -1.800000
   0.000091,  -0.480000,  -1.000000,  -0.960000,  -1.800000
   0.000092,  -0.400000,  -1.000000,  -0.880000,  -1.800000
   0.000092,  -0.400000,  -1.000000,  -0.880000,  -1.800000
   0.000092,  -0.400000,  -1.000000,  -0.800000,  -1.800000
   0.000092,  -0.400000,  -1.000000,  -0.800000,  -1.800000
   0.000092,  -0.320000,  -1.200000,  -0.720000,  -2.000000
   0.000093,  -0.320000,  -1.000000,  -0.720000,  -2.000000
   0.000093,  -0.240000,  -1.200000,  -0.720000,  -2.000000
   0.000093,  -0.320000,  -1.200000,  -0.640000,  -2.000000
   0.000093,  -0.240000,  -1.200000,  -0.560000,  -2.000000
   0.000094,  -0.240000,  -1.200000,  -0.560000,  -2.000000
   0.000094,  -0.240000,  -1.200000,  -0.480000,  -2.000000
   0.000094,  -0.160000,  -1.200000,  -0.480000,  -2.000000
   0.000094,  -0.160000,  -1.200000,  -0.400000,  -2.000000
   0.000095,  -0.160000,  -1.200000,  -0.400000,  -2.000000
   0.000095,  -0.080000,  -1.200000,  -0.400000,  -2.200000
   0.000095,  -0.080000,  -1.400000,  -0.320000,  -2.200000
   0.000095,  -0.080000,  -1.400000,  -0.320000,  -2.200000
   0.000096,  -0.080000,  -1.400000,  -0.240000,  -2.200000
   0.000096,   0.000000,  -1.400000,  -0.240000,  -2.200000
   0.000096,   0.000000,  -1.400000,  -0.160000,  -2.200000
   0.000097,   0.000000,  -1.400000,  -0.160000,  -2.400000
   0.000097,   0.080000,  -1.400000,  -0.080000,  -2.400000
   0.000097,   0.080000,  -1.400000,   0.000000,  -2.400000
   0.000097,   0.080000,  -1.400000,   0.000000,  -2.400000
   0.000097,   0.080000,  -1.400000,   0.080000,  -2.400000
   0.000098,   0.080000,  -1.400000,   0.080000,  -2.400000
   0.000098,   0.160000,  -1.200000,   0.080000,  -2.400000
   0.000098,   0.160000,  -1.200000,   0.160000,  -2.400000
   0.000098,   0.240000,  -1.200000,   0.160000,  -2.400000
   0.000099,   0.240000,  -1.200000,   0.240000,  -2.400000
   0.000099,   0.240000,  -1.200000,   0.240000,  -2.200000
   0.000099,   0.320000,  -1.200000,   0.320000,  -2.200000
   0.000099,   0.320000,  -1.200000,   0.320000,  -2.200000
   0.000100,   0.320000,  -1.200000,   0.400000,  -2.200000
   0.000100,   0.320000,  -1.200000,   0.400000,  -2.200000
   0.000100,   0.400000,  -1.200000,   0.480000,  -2.200000
   0.000100,   0.400000,  -1.200000,   0.560000,  -2.200000
   0.000101,   0.400000,  -1.200000,   0.560000,  -2.200000
   0.000101,   0.480000,  -1.200000,   0.560000,  -2.000000
   0.000101,   0.480000,  -1.200000,   0.640000,  -2.000000
